Year,Sex,Race,Ideology,Political,Happymar,Happy,Opinion of family income,DStand,DPStand
2000,0,1,4,2,3,2,3,-0.55,0.02
2000,0,1,4,2,2,1,2,0.10,-0.47
2000,1,1,4,7,2,2,4,-0.60,-1.30
2000,0,3,5,2,3,3,4,-0.60,-1.89
2000,1,2,4,1,2,3,3,-0.75,0.55
2000,0,1,4,5,2,2,3,-0.30,1.71
2000,0,1,5,1,2,2,2,-1.50,0.45
2000,0,3,4,3,2,2,2,0.10,0.98
2000,1,1,5,6,2,1,3,0.81,-1.99
2000,1,1,7,8,3,3,4,0.05,-1.00
2000,0,1,6,4,2,2,3,-1.20,-0.38
2000,0,1,4,3,3,3,1,-0.40,0.19
2000,0,1,4,1,3,3,4,-1.55,0.05
2000,0,1,4,8,1,1,1,-0.45,0.22
2000,1,2,3,2,3,3,3,1.81,-0.14
2000,1,1,2,3,3,3,3,-0.30,0.68
2000,1,1,7,2,3,3,2,-0.60,-0.44
2000,0,1,4,2,3,3,4,-0.05,0.91
2000,1,1,7,7,1,2,4,-0.75,-0.01
2000,1,1,6,8,3,3,3,-1.20,1.38
2000,0,1,5,1,3,3,3,-0.40,-1.80
2000,0,1,2,4,2,2,3,-0.30,0.78
2000,0,1,5,2,2,1,2,2.66,0.58
2000,0,2,4,1,2,2,3,-0.15,-1.96
2000,1,1,5,2,2,2,3,1.81,1.24
2000,0,1,1,4,1,2,3,-0.20,0.78
2000,0,1,0,4,3,3,2,1.16,-0.38
2000,0,1,3,2,2,2,3,0.35,1.24
2000,0,1,4,2,2,2,3,-0.80,-0.11
2000,1,1,7,7,3,3,4,2.41,0.55
2000,0,1,4,2,3,2,3,-0.85,0.88
2000,1,1,2,6,3,3,4,-1.15,-0.44
2000,1,1,6,4,3,3,4,-0.15,-0.08
2000,1,1,5,5,2,2,5,-0.05,1.04
2000,0,2,5,3,2,3,4,0.05,0.88
2000,0,1,3,2,3,3,5,-1.35,-0.24
2000,0,1,2,1,3,3,3,0.05,-0.34
2000,0,1,4,4,3,3,2,-0.15,-0.61
2000,0,1,4,3,3,3,2,-0.15,-0.90
2000,0,1,4,3,2,1,3,-0.30,-0.08
2000,1,1,4,2,2,2,4,2.56,-0.71
2000,0,1,5,4,3,2,4,0.00,0.65
2000,1,1,0,4,3,3,3,-0.50,-1.56
2000,0,1,6,6,3,2,1,-1.30,0.85
2000,0,1,3,4,2,2,3,-0.10,-0.05
2000,1,1,4,4,2,2,3,0.76,0.52
2000,0,1,5,1,3,3,4,-0.80,0.81
2000,0,1,6,4,3,3,4,-0.10,1.28
2000,0,1,4,4,2,2,3,0.50,1.01
2000,1,3,3,3,3,2,2,-0.20,0.05
2000,0,3,6,4,3,3,3,0.50,-0.61
2000,1,1,6,7,3,2,3,0.15,0.42
2000,0,1,3,2,2,2,3,0.35,-1.47
2000,0,1,6,5,2,2,2,-0.20,-0.51
2000,1,1,2,4,2,2,3,0.25,-0.38
2000,1,1,4,6,3,3,3,0.15,-0.38
2000,0,1,2,3,2,2,5,0.86,-0.61
2000,0,1,6,1,3,3,3,0.50,-0.05
2000,0,1,4,3,1,2,4,-1.30,1.01
2000,1,2,4,1,2,3,3,-1.60,1.11
2000,0,1,4,2,2,2,3,-0.05,-0.05
2000,0,1,2,1,2,2,2,-1.05,0.91
2000,1,1,4,4,3,3,3,-0.25,0.12
2000,1,1,3,2,3,3,3,0.55,-0.67
2000,0,1,4,2,2,2,3,0.25,-0.28
2000,0,1,3,2,3,3,2,2.31,-0.54
2000,0,1,5,6,2,2,3,-0.75,-1.56
2000,0,1,0,4,2,3,3,-0.25,-1.86
2000,1,1,7,6,2,2,2,0.45,-0.38
2000,1,1,1,0,1,2,3,0.30,-0.71
2000,0,2,2,1,2,2,4,-0.65,-2.49
2000,0,1,4,7,2,2,3,0.60,0.38
2000,1,1,4,1,3,3,4,-0.35,1.14
2000,0,1,6,7,3,2,2,0.15,-0.51
2000,1,1,4,2,3,1,3,-0.35,1.14
2000,0,1,7,4,3,2,3,-0.35,1.14
2000,0,2,0,4,2,2,2,0.45,0.25
2000,1,1,4,4,3,2,3,0.25,-0.11
2000,0,1,4,3,3,3,3,0.35,-0.71
2000,1,1,5,6,3,3,4,-1.75,1.11
2000,1,1,4,2,2,2,4,-0.25,-0.97
2000,1,1,5,7,2,2,1,1.01,1.24
2000,0,1,3,2,3,3,3,-0.15,-0.38
2000,1,1,4,3,3,2,3,1.16,0.98
2000,0,2,4,3,2,1,3,-1.00,-0.31
2000,1,1,5,6,2,2,3,-0.45,-0.18
2000,1,1,6,3,3,3,4,0.55,-1.23
2000,1,1,4,2,3,3,3,0.81,-1.93
2000,0,1,5,4,3,3,3,0.71,-0.05
2000,1,1,4,2,2,2,3,0.55,1.64
2000,1,1,4,4,3,2,3,-0.55,0.75
2000,1,2,5,2,3,2,2,-1.55,-1.14
2000,0,2,5,3,3,3,3,-0.70,-0.71
2000,0,1,4,3,2,2,3,-2.00,-0.44
2000,1,1,4,3,2,2,3,0.40,-0.47
2000,0,1,4,7,3,2,3,1.71,1.47
2000,0,1,3,2,3,3,3,-0.25,-0.71
2000,1,1,2,3,3,3,5,-0.25,1.14
2000,0,1,4,4,3,3,3,-0.75,0.38
2000,1,2,3,2,3,3,5,-0.10,-1.27
2000,1,1,4,3,2,2,3,-0.10,1.01
2000,0,1,6,7,3,2,3,-0.70,0.95
2000,0,1,5,6,3,3,4,-0.45,-0.61
2000,1,1,2,1,2,2,3,-0.85,-1.40
2000,1,1,0,3,2,2,3,0.10,-0.54
2000,1,2,4,4,3,3,4,0.05,-0.34
2000,0,1,5,6,1,1,3,0.96,-0.34
2000,0,1,3,4,2,2,3,-1.00,-1.66
2000,0,1,4,4,3,3,3,-0.15,-0.38
2000,0,1,4,4,3,2,3,0.25,0.78
2000,1,1,5,4,3,3,3,0.50,-1.93
2000,1,1,6,7,2,2,4,0.20,-0.44
2000,1,1,5,6,3,3,5,1.71,2.10
2000,0,2,4,2,3,2,3,-0.75,-0.31
2000,1,1,4,4,3,3,4,-0.35,-0.38
2000,0,1,6,2,3,3,1,0.05,-1.23
2000,1,1,6,6,3,3,1,1.66,-0.01
2000,0,1,4,1,3,2,3,0.65,0.65
2000,1,1,7,6,1,1,2,-0.55,-1.23
2000,0,1,5,6,3,2,3,0.65,0.55
2000,0,1,6,6,3,3,4,-0.40,-0.74
2000,0,2,6,1,3,3,3,-2.05,-0.38
2000,0,1,4,2,3,3,3,0.15,-0.05
2000,1,2,2,1,3,2,3,2.61,-0.97
2000,1,1,5,6,3,3,3,1.41,0.91
2000,1,1,6,5,2,3,3,-0.05,2.00
2000,1,2,5,5,2,2,3,-0.35,-0.21
2000,0,2,4,3,3,3,3,1.21,-2.49
2000,0,1,7,1,3,3,3,-0.75,1.14
2000,0,1,5,2,3,2,2,-0.05,0.58
2000,1,1,4,4,3,3,3,-1.70,-1.53
2000,0,1,6,4,3,3,3,-0.90,-1.40
2000,0,1,4,2,2,2,3,1.46,-0.24
2000,0,1,4,1,3,3,3,0.05,1.71
2000,1,1,2,3,3,2,4,3.51,0.88
2000,1,1,4,2,2,2,4,0.65,-0.38
2000,0,1,7,7,3,3,4,-3.56,-0.34
2000,1,1,6,7,3,2,4,3.36,1.18
2000,1,1,5,6,2,1,3,-1.25,-0.05
2000,0,2,6,2,3,3,3,-0.70,-0.01
2000,1,1,4,4,3,3,3,-0.80,0.19
2000,1,2,4,6,2,2,2,-0.75,-1.63
2000,1,1,5,5,3,3,5,0.50,-1.37
2000,0,3,4,4,3,2,3,-0.40,1.14
2000,0,1,3,2,1,1,4,0.30,-0.90
2000,1,2,3,2,2,2,4,-0.20,0.45
2000,1,2,4,4,3,2,4,0.40,-0.28
2000,0,1,6,4,3,3,3,-0.15,0.12
2000,0,1,0,4,2,3,2,-1.75,-0.24
2000,1,2,6,1,1,1,3,-0.45,-0.05
2000,1,1,5,6,3,2,3,0.65,0.09
2000,1,1,6,7,2,2,3,-1.20,2.00
2000,0,1,4,1,3,3,3,-0.60,0.15
2000,0,1,4,5,3,2,2,0.25,-0.38
2000,1,1,2,7,3,3,4,0.91,0.45
2000,1,2,4,2,2,3,3,-2.31,0.65
2000,1,1,6,6,3,3,3,0.05,1.01
2000,0,3,2,3,2,3,3,-0.55,-1.60
2000,0,1,0,2,2,2,3,-1.00,0.58
2000,0,1,5,5,3,3,3,-1.15,-0.05
2000,1,1,7,7,2,2,2,-0.80,1.14
2000,1,1,6,7,1,2,2,0.40,0.02
2000,1,1,7,5,1,2,5,1.51,-0.74
2000,1,1,5,5,3,2,5,1.56,0.81
2000,1,1,6,1,3,1,3,-0.10,1.14
2000,0,1,0,1,3,3,3,-0.85,-0.38
2000,1,1,3,3,3,2,4,0.50,-1.66
2000,1,1,5,5,3,3,3,0.50,1.21
2000,0,1,5,2,2,2,2,-0.90,1.11
2000,1,2,3,1,3,3,3,-0.30,0.45
2000,0,1,1,6,3,3,3,-0.10,-0.38
2000,0,1,5,5,3,3,4,-0.85,-0.28
2000,1,1,0,4,2,3,3,-0.20,-0.38
2000,0,1,3,6,2,2,3,-0.25,-0.38
2000,1,1,6,7,3,2,4,0.60,-0.67
2000,1,1,0,4,2,2,3,-0.45,-0.77
2000,0,1,3,6,2,2,2,-0.70,-0.77
2000,1,1,6,1,2,2,3,0.65,1.24
2000,0,1,6,6,3,3,3,0.30,-0.44
2000,0,1,7,6,3,3,3,0.05,1.31
2000,1,2,4,4,2,2,2,0.20,-0.67
2000,0,1,6,6,3,3,4,0.05,-1.96
2000,0,1,2,1,3,3,3,-0.05,0.22
2000,0,1,4,6,2,2,2,-1.45,-0.28
2000,0,1,6,4,2,2,1,-0.15,-0.08
2000,1,1,4,4,3,2,4,-0.40,0.71
2000,0,1,1,1,3,2,4,-0.45,1.28
2000,1,1,5,7,3,2,4,-0.70,0.88
2000,0,1,3,6,3,3,5,-1.00,2.04
2000,1,1,2,1,3,2,4,-0.10,0.88
2000,1,1,5,6,3,2,5,-0.10,2.00
2000,0,1,5,5,3,2,4,-1.45,-0.24
2000,0,1,6,7,2,3,3,-0.40,0.98
2000,0,1,4,5,2,2,2,-0.60,1.01
2000,1,2,2,2,2,2,2,-0.10,1.61
2000,0,1,3,3,2,2,3,1.56,0.05
2000,0,1,4,6,3,2,4,2.51,-0.47
2000,1,1,1,6,2,1,1,1.66,1.77
2000,0,1,3,2,3,3,3,0.20,-0.74
2000,0,1,2,4,3,2,3,-0.55,-0.94
2000,1,1,4,6,3,3,4,-0.65,-0.38
2000,1,3,2,2,3,2,3,1.81,1.14
2000,1,1,4,2,3,2,3,-1.05,1.08
2000,1,1,4,2,3,3,3,0.65,-0.77
2000,0,1,2,4,2,2,3,-2.00,-0.18
2000,1,1,4,1,2,2,4,0.86,1.11
2000,0,1,2,5,2,2,4,1.11,0.38
2000,0,1,4,1,2,2,4,-0.30,0.22
2000,0,1,5,6,2,3,4,-1.35,-0.28
2000,1,1,4,3,3,3,3,-0.15,0.81
2000,0,2,6,2,3,3,3,0.96,0.55
2000,0,1,6,2,2,2,3,0.05,1.80
2000,1,1,0,4,3,1,2,-0.40,-1.40
2000,1,2,1,4,2,2,3,-0.25,-0.77
2000,0,2,4,4,2,1,3,0.45,0.52
2000,1,1,1,4,3,2,3,-0.80,0.88
2000,0,2,4,2,3,2,3,0.76,-0.05
2000,0,1,4,2,2,2,4,0.20,-0.28
2000,1,2,3,6,2,2,2,1.31,-0.18
2000,0,1,4,1,3,2,3,-0.75,-0.61
2000,0,2,6,1,3,2,2,0.25,-0.38
2000,1,2,4,4,3,3,3,1.66,-1.20
2000,0,1,3,5,3,2,3,-0.35,1.28
2000,0,1,2,2,3,3,2,-0.05,-0.01
2000,0,1,4,5,3,3,4,0.30,-1.17
2000,1,1,4,3,3,3,4,1.81,-1.63
2000,1,1,4,5,2,2,3,0.55,-1.43
2000,1,3,0,4,3,3,3,0.65,0.58
2000,1,1,4,1,3,3,3,-0.30,0.55
2000,0,1,5,7,3,3,5,-0.90,0.81
2000,0,1,6,6,2,2,4,-0.45,1.28
2000,1,1,7,3,2,2,4,-0.20,-0.94
2000,1,1,1,1,2,2,3,1.11,0.78
2000,0,1,5,1,3,2,3,-0.75,-0.57
2000,1,1,0,3,2,2,3,3.56,1.08
2000,1,1,5,5,2,2,4,-0.75,-1.40
2000,1,1,6,7,2,2,3,0.15,1.11
2000,1,1,6,5,3,2,4,-0.25,-0.05
2000,0,2,4,1,2,2,3,-0.30,0.32
2000,1,1,2,1,3,3,1,0.40,-1.66
2000,0,1,6,5,3,2,4,-0.65,0.78
2000,1,1,5,5,3,3,3,-0.40,0.42
2000,0,1,4,3,3,3,3,-0.35,0.12
2000,0,1,4,3,3,2,4,-0.30,0.48
2000,1,1,5,5,3,3,3,-1.10,-0.31
2000,1,1,5,5,3,3,3,-1.00,-0.38
2000,1,1,4,2,3,3,4,0.91,-0.38
2000,1,1,4,5,3,3,2,-0.25,-0.38
2000,0,1,6,6,2,2,3,1.21,1.94
2000,0,3,6,5,3,2,4,-1.45,0.12
2000,0,1,5,5,3,3,3,2.96,-0.14
2000,1,1,5,6,2,2,4,-0.95,-0.41
2000,0,1,4,1,2,2,3,0.10,-0.01
2000,0,1,4,3,3,2,3,-0.80,-1.04
2000,1,1,5,4,3,3,4,0.96,-0.05
2000,0,1,3,3,3,3,4,-0.55,-0.18
2000,1,1,3,5,1,1,3,0.60,0.88
2000,1,2,4,2,3,2,4,-0.65,-0.38
2000,0,1,5,1,3,2,3,-0.65,1.18
2000,0,1,4,3,2,2,3,-0.10,0.75
2000,0,1,0,6,3,2,5,-1.85,0.45
2000,0,1,4,4,2,2,3,-0.70,-0.31
2000,1,2,4,1,3,3,3,-0.70,0.32
2000,0,2,4,3,2,2,3,-0.10,1.67
2000,1,1,1,1,3,3,4,1.71,-0.44
2000,1,1,2,1,3,2,3,-0.15,0.55
2000,1,3,4,6,3,2,4,1.16,-0.38
2000,1,1,4,6,2,2,4,-0.65,1.90
2000,0,2,5,6,3,3,3,-0.80,0.25
2000,1,1,4,2,3,2,3,0.45,0.78
2000,1,1,2,1,3,2,4,0.86,-2.65
2000,1,1,4,6,2,2,3,0.40,-0.74
2000,0,1,7,7,3,3,4,-0.40,-0.38
2000,0,1,4,4,3,3,4,-0.10,1.14
2000,0,1,6,7,3,3,3,-1.85,0.35
2000,0,1,4,3,3,3,3,-0.90,-0.01
2000,0,1,4,8,3,3,4,-1.90,-0.18
2000,1,1,5,7,3,2,2,-0.65,2.00
2000,1,1,4,4,2,2,3,-1.65,1.38
2000,0,2,3,3,2,2,3,0.65,1.14
2000,0,1,6,6,3,3,4,-1.35,-0.34
2000,0,1,5,2,2,2,4,-0.95,-0.38
2000,0,1,6,7,3,2,4,0.10,-0.38
2000,1,1,4,6,2,2,3,-1.15,1.77
2000,1,1,6,7,2,2,5,0.10,0.55
2000,1,1,3,4,1,2,3,-1.00,-0.14
2000,1,1,4,2,2,2,3,0.55,0.22
2000,1,1,1,8,2,1,2,-1.90,-0.67
2000,0,1,3,2,2,1,3,-0.10,-0.28
2000,1,1,6,6,2,2,4,0.10,0.78
2000,0,1,2,6,3,2,3,-0.55,0.65
2000,1,1,5,4,3,2,3,-0.40,1.80
2000,0,2,6,3,3,2,1,-0.20,0.19
2000,1,1,1,4,2,2,3,-0.95,-0.51
2000,0,1,5,7,3,3,4,-1.35,2.04
2000,0,1,4,3,2,3,3,-0.45,-1.07
2000,1,1,0,4,3,3,5,0.30,-0.77
2000,0,1,4,4,2,2,3,-0.05,0.19
2000,1,1,6,6,3,3,4,0.05,0.78
2000,0,1,6,7,3,2,4,-0.55,1.11
2000,1,1,5,6,3,3,4,1.86,-1.14
2000,1,1,4,3,3,2,3,-0.40,-1.56
2000,1,1,1,0,3,3,4,-0.25,0.15
2000,0,1,4,6,2,2,3,0.65,-1.20
2000,0,1,3,5,3,2,3,0.81,-0.14
2000,0,3,2,6,3,3,3,1.46,-1.63
2000,0,1,2,2,2,3,3,1.01,1.11
2000,0,1,6,5,3,3,4,0.20,0.78
2000,0,2,4,1,2,2,3,1.66,-0.01
2000,0,3,4,4,2,2,3,-1.20,0.81
2000,0,1,3,7,3,3,3,-0.15,-0.31
2000,0,3,2,1,3,3,3,0.00,-1.56
2000,0,1,6,6,2,2,2,0.55,-0.38
2000,0,1,0,5,3,3,2,0.65,0.32
2000,1,1,5,2,3,1,2,0.25,-0.94
2000,0,1,0,5,3,3,3,-0.10,0.88
2000,0,2,5,4,3,2,1,-0.70,-1.20
2000,0,2,7,1,2,3,2,0.35,1.14
2000,0,2,2,1,3,3,3,-0.30,-0.90
2000,0,2,1,1,3,2,0,-0.45,-0.21
2000,1,2,1,1,3,2,2,-0.50,-0.61
2000,0,2,5,1,3,2,3,-0.10,-1.40
2000,0,1,6,6,3,3,4,0.60,-0.47
2000,1,1,6,8,3,2,4,1.01,1.38
2000,1,1,4,1,3,3,5,0.35,0.52
2000,1,1,5,6,3,3,4,0.50,-0.18
2000,0,1,6,6,3,3,3,-0.45,-0.31
2000,1,1,6,4,2,3,3,2.16,0.09
2000,0,1,6,7,3,3,4,3.11,-2.06
2000,1,1,6,3,3,3,4,1.26,0.95
2000,1,2,2,7,3,3,1,-1.30,0.32
2000,0,1,6,2,3,3,3,-0.05,0.32
2000,1,1,7,7,3,3,4,-0.05,-0.44
2000,0,1,0,4,3,2,3,-1.50,-1.30
2000,1,1,6,7,3,3,4,-0.95,0.09
2000,0,1,5,1,3,3,3,-0.90,-0.24
2000,0,1,4,4,3,2,4,-0.20,-1.99
2000,0,1,2,1,2,2,4,-2.25,-0.24
2000,1,1,3,3,3,3,4,0.25,-1.40
2000,0,1,2,4,2,2,4,1.21,-0.71
2000,0,1,3,2,3,3,3,-0.45,-1.99
2000,0,1,4,5,2,2,3,0.25,-1.40
2000,0,1,6,7,2,2,3,-0.75,-1.86
2000,1,1,4,3,3,3,4,-0.75,0.71
2000,1,1,4,4,3,3,3,1.56,-0.71
2000,0,1,4,3,3,2,4,0.76,1.57
2000,1,1,5,3,3,3,3,0.86,-0.38
2000,1,1,3,2,2,2,3,1.66,-0.38
2000,1,1,6,4,3,1,3,0.45,-0.61
2000,0,1,4,2,3,2,3,0.76,-0.51
2000,1,2,4,4,3,3,4,-0.10,-0.87
2000,1,3,4,5,2,2,3,0.55,0.88
2000,1,3,2,3,2,1,3,0.65,1.21
2000,1,1,5,6,3,3,1,-0.70,1.54
2000,0,1,4,4,3,2,3,-0.20,0.48
2000,1,2,0,4,3,3,3,0.20,0.78
2000,0,3,4,2,3,3,4,0.10,-0.38
2000,0,1,4,4,2,2,3,-0.15,-0.97
2000,1,1,5,5,3,2,3,-0.05,-1.07
2000,1,1,1,7,2,3,4,0.40,-1.40
2000,0,2,1,1,3,3,3,0.40,0.91
2000,0,2,4,2,2,3,3,0.91,0.52
2000,0,1,4,6,3,3,3,1.56,-1.37
2000,0,2,4,1,3,3,2,1.56,1.14
2000,1,2,4,1,2,2,2,-0.45,0.29
2000,0,1,6,7,3,3,3,1.26,1.14
2000,0,1,7,3,2,3,2,-2.31,0.58
2000,1,1,7,1,3,2,3,1.56,1.14
2000,0,1,2,2,3,2,3,-0.75,0.35
2000,1,1,5,7,3,2,3,-0.50,-1.93
2000,0,1,4,1,2,2,4,0.10,-1.07
2000,0,1,6,7,3,3,2,-0.10,-0.01
2000,1,1,4,3,3,3,4,-1.30,-0.51
2000,1,1,6,6,3,3,2,1.01,0.65
2000,1,1,6,7,3,3,3,0.40,1.14
2000,0,1,3,7,3,3,3,-0.75,0.88
2000,1,1,6,7,3,3,3,0.05,-1.86
2000,1,1,2,1,2,3,2,-1.55,1.14
2000,1,1,6,7,3,2,2,-0.25,1.14
2000,0,1,4,6,2,1,3,-0.15,1.14
2000,0,1,2,1,3,2,1,0.35,0.52
2000,1,1,6,7,3,2,2,-1.25,-0.01
2000,1,1,0,4,3,3,4,0.91,-0.38
2000,0,1,0,4,3,2,1,0.15,-0.28
2000,1,1,4,5,2,3,3,-0.70,-0.34
2000,1,1,0,2,3,3,2,0.00,0.52
2000,0,1,2,3,2,2,3,-2.00,2.27
2000,0,1,4,4,2,2,3,1.01,0.38
2000,1,1,6,7,2,2,3,-0.10,-0.84
2000,1,1,5,5,2,2,4,0.40,-0.44
2000,0,1,0,4,3,2,3,0.05,-0.08
2000,0,1,3,2,2,2,4,0.65,-0.38
2000,1,1,4,4,2,1,2,-0.15,-1.20
2000,0,1,4,4,3,3,2,0.40,-0.64
2000,0,1,4,4,1,1,3,0.81,-2.79
2000,0,1,7,7,2,2,2,-0.20,1.08
2000,1,1,7,7,3,3,3,-0.15,0.95
2000,1,1,6,7,2,2,4,-0.35,-0.18
2000,1,1,5,4,3,3,4,1.71,-0.01
2000,1,1,4,2,3,2,3,-0.30,1.01
2000,0,1,6,5,3,3,4,0.71,0.19
2000,0,1,4,2,3,2,3,-0.75,0.78
2000,0,1,4,3,2,2,3,-0.60,-1.10
2000,0,1,4,2,2,2,3,0.30,0.88
2000,1,1,4,1,3,2,2,0.35,0.78
2000,1,1,4,4,2,3,2,2.16,-0.38
2000,0,1,4,2,3,3,2,0.35,0.45
2000,0,1,2,4,3,2,3,0.35,-0.14
2000,0,1,4,2,3,2,2,-0.70,-0.28
2000,0,1,2,7,3,3,3,0.30,-0.94
2000,0,1,3,1,3,3,4,-1.50,0.02
2000,1,2,4,3,3,3,3,-0.70,-1.96
2000,1,1,6,4,3,3,3,-0.25,-0.18
2000,0,1,7,5,3,3,3,-0.40,-1.93
2000,1,1,4,4,3,3,3,-0.25,-0.05
2000,1,1,6,5,3,3,3,-0.60,-0.11
2000,1,1,3,6,2,3,4,-0.20,1.80
2000,1,1,5,2,2,2,2,-0.65,-0.38
2000,0,1,4,2,3,2,3,-0.10,-0.38
2000,0,1,4,6,3,3,3,-0.65,1.11
2000,1,1,5,5,3,2,4,-0.50,0.81
2000,0,1,4,4,3,3,3,0.50,-0.28
2000,1,1,5,2,3,3,2,1.76,-0.01
2000,0,1,2,4,2,2,3,0.55,0.52
2000,1,1,5,6,2,3,4,-0.15,0.29
2000,0,1,7,7,3,3,5,-1.45,0.95
2000,0,1,4,3,2,2,3,-0.60,-0.84
2000,1,1,4,1,2,2,4,-0.10,-0.05
2000,0,1,4,4,3,2,2,-1.85,0.71
2000,1,1,4,2,3,3,3,0.60,-0.11
2000,1,1,4,2,3,3,4,0.50,0.68
2000,1,1,1,3,2,3,4,1.26,0.15
2000,0,1,3,2,3,3,3,-1.25,0.45
2000,0,1,7,7,2,2,1,2.21,1.14
2000,1,1,4,6,2,2,4,-0.85,-0.41
2000,1,1,4,6,3,3,4,-0.45,-0.24
2000,0,1,4,3,3,3,4,0.25,-1.50
2000,0,1,4,6,3,3,3,-0.95,1.14
2000,0,1,4,7,2,2,3,1.76,-1.63
2000,0,1,7,5,3,2,3,-2.61,1.61
2000,0,1,6,7,2,2,2,-0.45,1.14
2000,0,1,4,1,3,2,3,-0.45,-0.38
2000,0,1,5,5,3,2,3,1.01,-0.34
2000,0,1,4,3,2,2,2,0.00,0.68
2000,0,1,0,4,3,3,3,0.60,0.75
2000,0,1,6,6,3,2,3,-2.61,0.81
2000,1,1,7,6,3,2,0,0.30,0.95
2000,1,1,2,3,2,2,2,0.30,0.68
2000,0,1,5,2,3,3,3,0.15,0.52
2000,1,1,0,1,3,3,2,-0.30,0.95
2000,1,1,7,7,3,1,2,0.05,0.91
2000,0,1,4,6,2,2,2,-0.40,-0.18
2000,0,1,4,4,3,3,4,-0.10,1.14
2000,1,1,4,6,3,3,2,-0.65,-0.41
2000,0,1,3,4,2,2,2,-0.05,-0.87
2000,0,1,2,2,2,2,2,-0.60,-0.61
2000,1,1,6,7,3,1,1,0.91,0.05
2000,1,1,5,6,2,2,3,-0.45,1.47
2000,1,1,6,6,3,2,2,0.96,0.09
2000,1,1,4,6,2,2,1,0.91,0.71
2000,0,1,5,6,3,3,3,-0.40,-0.38
2000,0,1,5,5,2,2,2,1.46,1.24
2000,0,1,4,4,3,3,2,-0.65,-1.43
2000,0,1,6,7,3,3,3,-0.30,-0.38
2000,0,1,3,7,3,3,3,-0.10,0.78
2000,0,1,4,6,3,3,3,-0.25,-0.28
2000,0,1,4,4,3,2,3,-0.30,1.14
2000,0,1,4,6,3,3,3,0.65,-0.38
2000,0,1,5,6,2,2,2,0.25,1.14
2000,1,1,3,6,3,2,3,-0.75,-1.27
2000,0,1,2,3,3,2,1,0.05,-0.44
2000,0,1,5,5,3,1,3,-0.10,0.78
2000,0,1,4,6,3,3,4,-0.90,1.14
2000,0,1,5,6,3,3,3,-0.30,1.38
2000,0,1,6,7,3,2,3,-0.05,-0.38
2000,0,1,5,6,3,3,4,-0.10,0.58
2000,0,2,4,7,2,2,3,-0.30,-0.31
2000,1,2,3,1,3,1,2,2.26,0.52
2000,1,1,5,2,3,3,4,-0.45,-0.97
2000,1,1,4,4,2,3,3,-0.45,1.14
2000,1,1,4,6,3,3,3,-0.10,0.78
2000,0,1,4,6,3,3,3,0.25,-0.28
2000,1,1,4,4,3,3,3,-0.65,-0.77
2000,0,1,2,1,2,2,3,-1.20,0.78
2000,1,1,6,7,3,3,3,0.10,0.85
2000,1,1,7,4,3,2,3,2.01,0.52
2000,0,1,1,2,3,2,2,-2.31,-0.38
2000,1,1,4,3,2,2,3,1.01,-0.38
2000,1,1,4,1,2,2,4,-1.15,0.19
2000,0,1,5,6,3,2,3,-0.25,0.88
2000,0,1,0,2,3,3,3,0.40,1.11
2000,1,1,4,4,2,2,2,0.15,-0.38
2000,0,1,5,6,3,3,3,2.26,0.65
2000,0,1,4,3,3,2,4,-0.25,1.57
2000,0,3,1,5,3,2,5,-0.75,0.05
2000,1,1,4,6,2,2,3,-0.10,-0.38
2000,0,1,5,5,3,2,3,-2.25,0.09
2000,1,1,5,7,3,2,2,1.66,1.18
2000,0,1,6,5,2,3,3,1.06,-0.84
2000,1,1,7,7,3,2,3,2.21,1.14
2000,0,1,4,1,2,1,3,0.81,1.28
2000,0,1,5,5,2,2,4,-0.20,-0.05
2000,1,1,4,3,1,2,2,0.65,-0.38
2000,1,1,6,7,3,3,4,2.01,-0.54
2000,0,1,4,6,3,2,3,-0.30,0.91
2000,1,1,2,6,3,2,3,-1.60,-0.80
2000,1,1,5,5,3,3,4,1.26,-1.40
2000,1,1,4,6,3,2,3,0.76,-0.64
2000,0,1,6,3,3,3,4,-0.50,-1.43
2000,0,1,4,2,3,3,4,0.10,0.78
2000,1,1,4,6,2,2,4,-0.30,-0.94
2000,0,1,5,4,3,2,3,0.00,1.28
2000,0,1,6,6,3,2,4,0.40,-0.71
2000,0,1,2,1,3,3,3,0.55,0.29
2000,1,1,2,3,2,2,3,-1.25,0.19
2000,0,1,0,0,3,3,0,-0.20,1.14
2000,1,1,5,6,2,2,4,-0.90,-1.43
2000,1,1,5,6,3,3,4,-0.10,-1.14
2000,1,1,6,6,3,3,3,-0.90,0.02
2000,0,1,7,5,3,3,3,-0.10,-1.56
2000,0,2,4,1,3,3,2,0.05,-1.47
2000,1,2,4,2,2,2,3,0.50,-0.18
2000,1,1,4,5,3,2,3,1.11,1.34
2000,0,1,4,3,1,2,2,-0.45,-0.47
2000,0,1,4,4,2,1,2,-1.55,-0.38
2000,1,1,5,7,3,3,4,-2.46,0.32
2000,0,1,5,6,2,2,2,1.21,-0.14
2000,1,1,6,7,3,3,4,0.25,0.05
2000,0,1,7,6,3,3,3,-0.10,-1.04
2000,0,1,4,2,2,3,3,0.15,1.11
2000,1,1,4,5,3,2,3,-0.10,1.28
2000,0,1,4,4,1,1,3,-0.45,0.19
2000,1,1,2,1,3,3,2,0.15,1.38
2000,0,1,4,2,3,2,2,0.91,-0.38
